ID_SERIE;TIPO_PROVA;DISCIPLINA;ID_SERIE_ITEM;ID_BLOCO;ID_POSICAO;ID_ITEM;ID_DESCRITOR_HABILIDADE;GABARITO
2;Macrotipo;LP;2;1;1;117484;H1.1;B
2;Macrotipo;LP;2;1;2;117496;H2.1;C
2;Macrotipo;LP;2;1;3;117535;H2.1;D
2;Macrotipo;LP;2;1;4;117442;H4;B
2;Macrotipo;LP;2;1;5;117438;H5;C
2;Macrotipo;LP;2;1;6;117512;H7;D
2;Macrotipo;LP;2;1;7;117480;H8.1;B
2;Macrotipo;LP;2;1;8;117443;H9;D
2;Macrotipo;LP;2;2;1;117411;H1.2;B
2;Macrotipo;LP;2;2;2;117351;H2.1;A
2;Macrotipo;LP;2;2;3;117473;H2.2;C
2;Macrotipo;LP;2;2;4;117479;H4;C
2;Macrotipo;LP;2;2;5;117474;H4;C
2;Macrotipo;LP;2;2;6;117493;H5;D
2;Macrotipo;LP;2;2;7;117492;H6;C
2;Macrotipo;LP;2;2;8;117419;H8.2;D
2;Prova Regular;LP;2;1;1;117325;H1.1;B
2;Prova Regular;LP;2;1;2;117351;H2.1;A
2;Prova Regular;LP;2;1;3;117350;H2.2;A
2;Prova Regular;LP;2;1;4;117353;H4;C
2;Prova Regular;LP;2;1;5;117324;H5;D
2;Prova Regular;LP;2;1;6;117339;H6;C
2;Prova Regular;LP;2;1;7;117481;H7;B
2;Prova Regular;LP;2;1;8;117337;H9;C
2;Prova Regular;LP;2;2;1;117416;H1.1;A
2;Prova Regular;LP;2;2;2;117432;H2.1;A
2;Prova Regular;LP;2;2;3;117433;H2.2;C
2;Prova Regular;LP;2;2;4;117401;H4;D
2;Prova Regular;LP;2;2;5;117341;H5;D
2;Prova Regular;LP;2;2;6;117421;H6;B
2;Prova Regular;LP;2;2;7;117430;H7;C
2;Prova Regular;LP;2;2;8;117497;H9;D
2;Prova Regular;LP;2;3;1;117494;H1.1;C
2;Prova Regular;LP;2;3;2;117472;H2.1;D
2;Prova Regular;LP;2;3;3;117478;H2.2;C
2;Prova Regular;LP;2;3;4;117434;H4;B
2;Prova Regular;LP;2;3;5;117415;H5;C
2;Prova Regular;LP;2;3;6;117403;H7;D
2;Prova Regular;LP;2;3;7;117476;H8.1;B
2;Prova Regular;LP;2;3;8;117427;H9;D
2;Prova Regular;LP;2;4;1;117484;H1.1;B
2;Prova Regular;LP;2;4;2;117496;H2.1;C
2;Prova Regular;LP;2;4;3;117535;H2.1;D
2;Prova Regular;LP;2;4;4;117442;H4;B
2;Prova Regular;LP;2;4;5;117438;H5;C
2;Prova Regular;LP;2;4;6;117512;H7;D
2;Prova Regular;LP;2;4;7;117480;H8.1;B
2;Prova Regular;LP;2;4;8;117443;H9;D
2;Prova Regular;LP;2;5;1;117534;H1.1;B
2;Prova Regular;LP;2;5;2;117326;H1.2;C
2;Prova Regular;LP;2;5;3;117334;H2.2;B
2;Prova Regular;LP;2;5;4;117474;H4;C
2;Prova Regular;LP;2;5;5;117452;H5;B
2;Prova Regular;LP;2;5;6;117405;H7;C
2;Prova Regular;LP;2;5;7;117538;H8.1;D
2;Prova Regular;LP;2;5;8;117475;H9;D
2;Prova Regular;LP;2;6;1;117440;H1.2;C
2;Prova Regular;LP;2;6;2;117439;H2.1;C
2;Prova Regular;LP;2;6;3;117404;H2.2;A
2;Prova Regular;LP;2;6;4;117485;H4;A
2;Prova Regular;LP;2;6;5;117533;H5;C
2;Prova Regular;LP;2;6;6;117482;H6;D
2;Prova Regular;LP;2;6;7;117413;H8.2;D
2;Prova Regular;LP;2;6;8;117402;H9;B
2;Prova Regular;LP;2;7;1;117411;H1.2;B
2;Prova Regular;LP;2;7;2;117495;H2.1;A
2;Prova Regular;LP;2;7;3;117473;H2.2;C
2;Prova Regular;LP;2;7;4;117479;H4;C
2;Prova Regular;LP;2;7;5;117537;H4;C
2;Prova Regular;LP;2;7;6;117493;H5;D
